Customer ID,Plan Type,Duration Before Churn (months),Primary Reason,Open Feedback,Suggested Improvement
CH001,Starter,5,Poor support,I switched to Shopify because it offers more integrations.,Offer better integrations.
CH002,Business,12,Switched to competitor,Support was friendly but slow to respond.,Enhance uptime.
CH003,Pro,12,Poor support,واجهت صعوبة في الربط مع بوابة الدفع.,Offer better integrations.
CH004,Pro,8,Setup was hard,Didn’t get any sales after the trial. Not worth paying monthly.,Faster support response.
CH005,Business,12,Technical issues,واجهت مشاكل في السرعة وقت العروض.,Add a cheaper plan.
CH006,Business,1,Poor support,"The setup was confusing, especially the payment gateway connection.",Localized help articles.
CH007,Starter,4,Poor support,"The setup was confusing, especially the payment gateway connection.",Localized help articles.
CH008,Pro,6,Switched to competitor,واجهت مشاكل في السرعة وقت العروض.,Improve onboarding steps.
CH009,Business,1,Switched to competitor,المنصة ممتازة لكن الدعم الفني يتأخر بالرد.,Offer better integrations.
CH010,Starter,3,Poor support,"The setup was confusing, especially the payment gateway connection.",Faster support response.
CH011,Starter,10,Technical issues,واجهت مشاكل في السرعة وقت العروض.,Improve onboarding steps.
CH012,Business,3,Seasonal business,واجهت مشاكل في السرعة وقت العروض.,Faster support response.
CH013,Business,1,Technical issues,واجهت مشاكل في السرعة وقت العروض.,Add a cheaper plan.
CH014,Pro,11,Technical issues,Didn’t get any sales after the trial. Not worth paying monthly.,Offer better integrations.
CH015,Starter,6,Switched to competitor,واجهت مشاكل في السرعة وقت العروض.,Improve onboarding steps.
CH016,Pro,4,Technical issues,Support was friendly but slow to respond.,Improve onboarding steps.
CH017,Business,5,Technical issues,"I liked the platform, but I only needed it occasionally.",Faster support response.
CH018,Starter,10,Switched to competitor,"The setup was confusing, especially the payment gateway connection.",Enhance uptime.
CH019,Pro,5,Setup was hard,Support was friendly but slow to respond.,Add a cheaper plan.
CH020,Pro,12,Seasonal business,"Good tool, but not suitable for small stores.",Add a cheaper plan.
CH021,Pro,11,Too expensive,واجهت صعوبة في الربط مع بوابة الدفع.,Faster support response.
CH022,Starter,10,Setup was hard,واجهت صعوبة في الربط مع بوابة الدفع.,Localized help articles.
CH023,Business,10,Too expensive,واجهت صعوبة في الربط مع بوابة الدفع.,Offer better integrations.
